Date,week,Forward/Back,Position Specific,Name,dist_total,msr_total,hsr_total,percentVmax
2017-08-07,Wk 06,Forwards,Tighthead Prop,1202a,2851.92627,1194.0900000000001,58.230000000000004,0.8668896321070234
2017-08-09,Wk 06,Forwards,Tighthead Prop,1202a,767.83179,94.41,45.440000000000005,0.8271571906354516
2017-08-10,Wk 06,Forwards,Tighthead Prop,1202a,1028.62393,44.51,0,0.6248829431438128
2017-08-11,Wk 06,Forwards,Tighthead Prop,1202a,1682.97217,1025.47001,6.76,0.7127759197324415
2017-08-14,Wk 07,Forwards,Tighthead Prop,1202a,1293.1051,154.76999999999998,145.1,0.9896989966555185
2017-08-15,Wk 07,Forwards,Tighthead Prop,1202a,1387.45789,246.07000000000002,0,0.6345150501672241
2017-08-17,Wk 07,Forwards,Tighthead Prop,1202a,688.19073,0,0,0.38648829431438125
2017-08-18,Wk 07,Forwards,Tighthead Prop,1202a,2103.45703,1122.84001,0,0.6585953177257525
2017-08-21,Wk 08,Forwards,Tighthead Prop,1202a,1697.59131,643.1100200000001,0,0.6296989966555184
2017-08-22,Wk 08,Forwards,Tighthead Prop,1202a,1480.76512,251,219.04,0.8837458193979933
2017-08-24,Wk 08,Forwards,Tighthead Prop,1202a,3302.14258,560.62,98.86,0.8656856187290971
2017-08-26,Wk 08,Forwards,Tighthead Prop,1202a,2564.91821,1382.73002,47.16,0.7645484949832776
2017-08-28,Wk 09,Forwards,Tighthead Prop,1202a,2206.05972,550.8399999999999,119.28,0.8753177257525083
2017-08-29,Wk 09,Forwards,Tighthead Prop,1202a,3464.4655000000002,508.69000000000005,14.06,0.8271571906354516
2017-08-31,Wk 09,Forwards,Tighthead Prop,1202a,3001.71115,940.93999,65.84,0.7753846153846154
2017-09-04,Wk 10,Forwards,Tighthead Prop,1202a,2762.03881,329.25,4,0.7416722408026756
2017-09-06,Wk 10,Forwards,Tighthead Prop,1202a,2892.90898,507.87001,0,0.688695652173913
2017-09-08,Wk 10,Forwards,Tighthead Prop,1202a,3719.2356600000003,280.64000000000004,21.74,0.7862207357859532
2017-09-10,Wk 10,Forwards,Tighthead Prop,1202a,518.72797,181.19,31.5,0.7633444816053512
2017-09-11,Wk 11,Forwards,Tighthead Prop,1202a,2278.99733,495.93999999999994,8.4,0.7802006688963211
2017-09-12,Wk 11,Forwards,Tighthead Prop,1202a,3458.89288,971.54,41.69,0.805484949832776
2017-09-14,Wk 11,Forwards,Tighthead Prop,1202a,2077.31587,481.4,6.88,0.728428093645485
2017-09-15,Wk 11,Forwards,Tighthead Prop,1202a,1964.69476,356.41999999999996,23.94,0.7789966555183946
2017-09-18,Wk 12,Forwards,Tighthead Prop,1202a,4381.82771,1079.00999,75.2,0.8307692307692308
2017-09-19,Wk 12,Forwards,Tighthead Prop,1202a,4267.5479,617.1899900000001,0,0.6381270903010033
2017-09-21,Wk 12,Forwards,Tighthead Prop,1202a,2624.77142,385.95000000000005,14.48,0.7898327759197324
2017-09-22,Wk 12,Forwards,Tighthead Prop,1202a,2267.09351,516.42999,0,0.5983946488294314
2017-09-25,Wk 13,Forwards,Tighthead Prop,1202a,4557.88716,628.79,106.35,0.842809364548495
2017-09-27,Wk 13,Forwards,Tighthead Prop,1202a,4284.91857,935.5500000000001,2.82,0.7067558528428094
2017-09-28,Wk 13,Forwards,Tighthead Prop,1202a,2655.0395,316.76,0,0.6393311036789298
2017-09-29,Wk 13,Forwards,Tighthead Prop,1202a,2313.96003,293.73,19.18,0.7741806020066889
